Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUF13B New Myeloid Panel 1 Nasal_002.fcs,93.9,18.8,16.2,77.7,2.66,3.49,0.058,3.81,15.1,70.7,0.16,0.13,0.89,3.05,0,0.012,1.66,1.81,0,0.046,1,1.62,1515,574,1607,4672,CUF13B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13C New Myeloid Panel 1 Nasal_001.fcs,80.7,38.3,29.2,51.6,9.11,10.1,5.59,16.1,14.9,23,5.59,5.8,3.11,6.63,0.83,0,1.24,1.45,3.52,2.07,3.52,6.63,1663,1725,2166,6446,CUF13C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13C New Myeloid Panel 1 Nasal_002.fcs,80,43.7,32.2,47.8,11.5,8.53,2.99,11.1,21.7,27.5,5.76,4.48,1.71,4.69,1.07,0,1.49,1.71,4.69,0.85,4.26,5.97,1808,1849,2341,6240,CUF13C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13D New Myeloid Panel 1 Nasal_002.fcs,70.4,41.6,22.4,48,19.2,10.4,8.44,8.79,5.59,30.4,7.22,5.66,1.13,3.12,3.79,0.19,4.14,1.58,6.89,3.55,4.4,5.06,657,1290,1106,9343,CUF13D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13F New Myeloid Panel 1 Nasal_002.fcs,64.9,53.1,29.2,35.7,23.8,11.3,2.59,7.82,1.19,14.7,24.3,10.3,1.19,2.79,0.99,0.4,0.93,0.99,17.8,5.9,4.11,3.98,304,1910,461,4701,CUF13F,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13L New Myeloid Panel 1 Nasal_001.fcs,80.2,80.3,65.9,14.3,14.3,5.47,33.1,5.77,15,7.62,10.6,0.59,7.17,0.3,3.62,2.14,6.36,2.59,0.81,0.22,3.55,0.52,387,4299,455,5688,CUF13L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13M New Myeloid Panel 1 Nasal_001.fcs,91.2,15.4,10.3,80.9,5.02,3.75,1.68,6.37,8.43,74.2,0.084,0.012,0.13,0.27,0.3,0.18,3.47,2.34,0.042,7.96E-03,1.22,1.23,808,228,856,3253,CUF13M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13N New Myeloid Panel 1 Nasal_001.fcs,86.3,18.5,13.1,73.2,5.39,8.3,1.89,9.16,8.52,62,1.4,0.53,1.32,1.51,0.11,1.73,4.49,5.54,0,0,0.79,1.02,265,215,297,3292,CUF13N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13P New Myeloid Panel 1 Nasal_001.fcs,93.7,32.5,28.9,64.8,3.63,2.68,8.26,3.82,19.4,59.8,0.66,0.12,0.58,1.05,0.21,0.035,2.79,1.3,0.035,0.046,0.6,1.3,671,359,705,5849,CUF13P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13R New Myeloid Panel 1 Nasal_001.fcs,89.4,21.9,18.4,71,3.55,7.07,6.59,8.36,10,58.1,1.13,1.36,0.61,3.13,0.39,0.3,1.85,2.43,0.45,0.26,0.85,4.08,1501,610,1637,5313,CUF13R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13S New Myeloid Panel 1 Nasal_001.fcs,89.9,27.7,21.7,68.2,5.94,4.14,3.54,10,15.3,55.1,1.73,0.51,1.16,2.51,0.39,0.066,2.3,1.72,0.5,0.077,2.76,2.28,1166,532,1278,4193,CUF13S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14A New Myeloid Panel 1 Nasal_001.fcs,91.8,9.3,6.64,85.2,2.67,5.51,1.04,15.5,3.14,63.3,1.79,0.9,0.66,5.41,0.23,0.1,0.66,1.23,0.31,0.15,1.46,4.03,1791,170,1912,2644,CUF14A,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14B New Myeloid Panel 1 Nasal_001.fcs,90.9,30.9,27.8,63.1,3.13,6.02,2.41,9.48,24,49.7,0.18,0.48,1.19,3.4,0.17,0.54,1.5,2.33,0.061,0.29,1.4,2.86,838,750,904,2744,CUF14B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14C New Myeloid Panel 1 Nasal_001.fcs,94.2,19.6,17.1,77.1,2.56,3.26,2.18,16.3,13.7,59.2,0.71,0.093,0.47,1.49,0.093,0.12,0.71,1.16,0.16,0.067,1.6,1.92,4194,471,4369,3227,CUF14C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14D New Myeloid Panel 1 Nasal_001.fcs,80.1,23.2,15.6,64.5,7.54,12.3,3.25,15.1,7.32,44.3,3.3,0.5,1.76,4.71,0.29,0.45,2.5,1.74,0.14,0.21,4.61,9.91,1000,285,1243,3366,CUF14D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14N New Myeloid Panel 1 Nasal_001.fcs,94.7,6.47,5.67,89.1,0.81,4.47,1.12,43.3,3.62,43.4,0.47,0.64,0.45,1.71,0.011,0.76,0.37,2.33,0.043,0.15,0.39,1.23,1028,398,1076,2013,CUF14N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14P New Myeloid Panel 1 Nasal_003.fcs,56.5,21.8,10.6,45.8,11.2,32.3,1.99,5.74,4.46,23.7,4.03,14.7,0.16,1.72,0.59,0.21,0.97,1.07,5.21,18.1,4.46,12.9,1442,960,3064,4237,CUF14P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14Q New Myeloid Panel 1 Nasal_003.fcs,72.5,35.2,24.2,48.3,11,16.5,1.58,4.29,6.43,14.6,13.2,22.3,2.98,7.08,0.28,0.28,0.65,0.84,2.7,6.43,7.36,8.95,744,1386,1106,4272,CUF14Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14S New Myeloid Panel 1 Nasal_001.fcs,79.4,18.9,14.4,65.1,4.57,16,2,10.5,7.23,43.8,1.52,1.33,3.62,9.51,0.095,0.095,0.19,1.9,0.095,0,4.19,14,833,513,1116,3325,CUF14S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF14T New Myeloid Panel 1 Nasal_001.fcs,82.4,14,10.9,71.5,3.13,14.5,1.58,10.7,7.3,57.3,1.13,0.28,0.85,3.23,0.3,1.05,1.05,4.03,0.23,0.18,1.55,9.23,845,343,1031,1384,CUF14T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF144 New Myeloid Panel 1 Nasal_001.fcs,67.2,27.3,17.1,50.1,10.1,22.7,1.29,2.95,8.84,24.9,1.29,2.95,5.71,19.3,0,0,0.55,0.18,0.55,0.55,9.02,21.9,531,544,949,4556,CUF114,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF138 New Myeloid Panel 1 Nasal_002.fcs,91.9,40.7,36.8,55.1,3.94,4.11,5.02,10.4,29.9,41.7,0.23,0.075,1.68,3.02,0.11,0.011,0.75,0.49,0.23,0.15,2.86,3.46,6814,1667,7213,4537,CUF138,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF139 New Myeloid Panel 1 Nasal_002.fcs,75.2,33,24.8,50.4,8.15,16.7,0.56,0.37,2.41,10.9,5.74,9.81,16.1,29.3,0,0.19,1.48,4.63,0.56,0.56,6.11,11.3,450,875,595,3259,CUF139,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF143 New Myeloid Panel 1 Nasal_001.fcs,64.7,23,13.5,51.2,9.48,25.8,3.88,8.27,6.56,36,2.43,3.64,0.62,3.38,1.11,1,5.71,7.03,0.52,1.46,2.14,16.3,322,373,516,3634,CUF143,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF145 New Myeloid Panel 1 Nasal_001.fcs,68.7,18.4,8.96,59.8,9.44,21.8,0.67,10.5,6.62,47.1,1.49,0.19,0.18,2.01,0.71,0.96,4.8,6.88,0.62,0.31,3.32,13.7,838,287,1155,2364,CUF145,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF146 New Myeloid Panel 1 Nasal_001.fcs,81.9,39.7,31.5,50.3,8.16,9.99,10.5,2.66,19.7,46.2,1.19,1.1,0.092,0.37,1.74,0.82,6.14,7.42,0,0,0.27,1.74,399,807,447,5071,CUF146,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12A New Myeloid Panel 1 Whole Blood_002.fcs,88.7,91,81.8,6.85,9.22,2.1,76.5,6.26,3.77,0.44,1.59,0.15,0.027,0,8.07,1.81,0.61,0.14,0.46,0.13,0.073,0.018,303,2865,335,3040,CUF12A,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12B New Myeloid Panel 1 Whole Blood_001.fcs,94.3,99.2,93.6,0.69,5.65,0.1,74.8,0.46,18.2,0.19,0.53,9.90E-03,0.032,0.032,4.36,0.049,0.55,0.02,0.63,0.017,0.11,0.015,1310,2414,1385,2424,CUF12B,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12C New Myeloid Panel 1 Whole Blood_002.fcs,80.6,94.2,76.1,4.56,18.1,1.22,63.6,3.96,12.1,0.48,0.36,0.077,0.016,0.033,14.3,0.69,2.47,0.066,1,0.38,0.31,0.088,1819,3934,2200,4091,CUF12C,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12D New Myeloid Panel 1 Whole Blood_002.fcs,96.6,43.1,41.5,55.1,1.54,1.88,27.2,37,14.2,18,0.088,0.096,0.033,0.012,1.12,1.54,0.18,0.14,0.15,0.15,0.09,0.053,3304,2044,3377,3163,CUF12D,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12M New Myeloid Panel 1 Whole Blood_002.fcs,98.9,38.3,37.9,60.9,0.41,0.73,37,60.1,0.88,0.64,0,0.13,0.026,0.077,0.29,0.36,0.056,0.046,0.01,0.15,0.061,0.18,3232,2670,3263,4219,CUF12M,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12N New Myeloid Panel 1 Whole Blood_002.fcs,98.9,98.2,97.3,1.64,0.93,0.16,73.5,1.17,23.1,0.39,0.62,0.048,0.091,0.029,0.43,0.029,0.25,0.014,0.14,0.091,0.11,0.029,3314,4091,3345,4133,CUF12N,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12P New Myeloid Panel 1 Whole Blood_002.fcs,97.4,99,96.5,0.9,2.48,0.11,86.9,0.78,9.41,0.1,0.15,8.58E-03,0.014,0.011,1.95,0.054,0.27,0.011,0.17,0.037,0.091,0.011,2604,2940,2662,2957,CUF12P,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12R New Myeloid Panel 1 Whole Blood_002.fcs,98.7,98.6,97.4,1.33,1.19,0.11,76.5,0.8,20.7,0.43,0.072,0.064,4.24E-03,0.047,0.5,0.025,0.13,4.24E-03,0.19,0.03,0.37,0.047,1259,2604,1270,2624,CUF12R,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12S New Myeloid Panel 1 Whole Blood_002.fcs,97.6,98.3,96.1,1.45,2.21,0.22,71,0.51,24.9,0.69,0.051,0,0.17,0.25,1.13,0.017,0.61,0.068,0.085,0.017,0.39,0.12,1747,2998,1775,3022,CUF12S,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12T New Myeloid Panel 1 Whole Blood_002.fcs,87.3,73.4,71.4,15.9,2.03,10.7,45.8,10.1,25.3,4.11,0.2,1.63,0.14,0.099,1.59,1.93,0.14,0.16,0.26,8.3,0.04,0.28,2833,3221,3074,3886,CUF12T,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13S New Myeloid Panel 1 Blood_002.fcs,95.6,97.6,93.4,2.15,4.19,0.22,67.2,0.66,10.3,1.26,15.8,0.15,0.18,0.071,1.55,7.44E-03,0.13,7.44E-03,2.34,0.13,0.16,0.074,2477,7869,2556,7974,CUF12U,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12U New Myeloid Panel 1 Whole Blood_002.fcs,98.7,98.7,97.5,1.18,1.19,0.084,58.2,0.29,39.3,0.76,0.028,0.084,9.31E-03,0.047,0.71,9.31E-03,0.23,9.31E-03,0.093,0.056,0.16,9.31E-03,4129,5556,4168,5592,CUF12U,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12V New Myeloid Panel 1 Whole Blood_002.fcs,99,99.5,98.6,0.44,0.95,0.046,36.8,0.12,61.2,0.23,0.32,0.023,0.19,0.069,0.28,0,0.23,0,0.14,0.023,0.3,0.023,3951,6335,3976,6363,CUF12V,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF12X New Myeloid Panel 1 Whole Blood_002.fcs,99,99.5,98.5,0.45,0.94,0.062,91.2,0.24,6.7,0.14,0.66,0.024,0.028,0.043,0.39,4.74E-03,0.29,0.014,0.12,0.028,0.13,0.014,3142,7765,3162,7782,CUF12X,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13A New Myeloid Panel 1 Whole Blood_001.fcs,86.7,98.7,85.7,0.99,13,0.31,72.8,0.88,12.8,0.078,0.13,0.017,0.026,0.015,10.9,0.24,1.35,0.02,0.45,0.028,0.24,0.022,552,2514,617,2534,CUF13A,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13B New Myeloid Panel 1 Whole Blood_001.fcs,97.1,98.8,96,1.08,2.72,0.16,31.3,0.12,64.2,0.85,0.13,0.035,0.43,0.07,0.79,2.04E-03,1.19,0.041,0.16,0.022,0.59,0.09,1991,5381,2029,5416,CUF13B,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13C New Myeloid Panel 1 Whole Blood_001.fcs,93.6,98.9,92.9,0.7,5.98,0.41,36.2,0.051,8.77,0.15,46.8,0.23,1.07,0.27,0.3,0,0.19,7.26E-03,4.33,0.16,1.15,0.24,3964,7496,4194,7529,CUF13C,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13D New Myeloid Panel 1 Whole Blood_001.fcs,93.1,97.9,91.8,1.28,6.07,0.86,85.8,0.48,5.31,0.13,0.62,0.54,0.032,0.13,3.9,7.93E-03,0.23,0.016,1.58,0.44,0.36,0.39,5931,13174,6218,13265,CUF13D,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13E New Myeloid Panel 1 Whole Blood_001.fcs,81.3,99.1,80.9,0.37,18.2,0.55,68.9,0.19,8.33,0.13,3.34,0.027,0.32,0.027,9.59,0.14,0.75,9.03E-03,6.97,0.11,0.87,0.3,3304,4193,4065,4219,CUF13E,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13F New Myeloid Panel 1 Whole Blood_001.fcs,96.9,95.8,93,3.83,2.75,0.38,69.3,1.83,22.2,1.63,1.27,0.22,0.28,0.15,1.15,0.074,0.089,0,1.26,0.22,0.25,0.089,7055,4831,7190,4955,CUF13F,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13G New Myeloid Panel 1 Whole Blood_001.fcs,91.2,59,54.7,36.6,4.36,4.44,11.8,32.1,42.1,3.93,0.1,0.35,0.63,0.22,1.25,3.8,2.95,0.25,0.02,0.2,0.14,0.18,469,3991,513,6660,CUF13G,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF13R New Myeloid Panel 1 Blood_002.fcs,95.4,86.6,82.7,12.7,3.91,0.73,61.2,5.77,20.9,6.77,0.5,0.042,0.11,0.073,2.3,0.036,0.43,0.066,0.55,0.11,0.64,0.52,2816,3400,2896,3739,CUF13R,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14A New Myeloid Panel 1 Blood_002.fcs,96.4,92.5,89.2,7.16,3.29,0.34,47.7,1.34,41.1,5.71,0.29,0.086,0.038,0.029,2.45,0.038,0.32,0.12,0.32,9.57E-03,0.21,0.16,3474,4133,3551,4316,CUF14A,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14B New Myeloid Panel 1 Blood_002.fcs,93.3,38.6,36.7,56.6,1.84,4.85,21,25.8,2.13,1.19,13.3,29.1,0.24,0.56,0.7,1.18,0.031,0.031,1.03,3.55,0.077,0.093,367,1266,389,2091,CUF14B,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14C New Myeloid Panel 1 Blood_002.fcs,89.1,35.4,28.6,60.5,6.79,4.11,20.2,45.5,7.15,10.2,0.92,2.8,0.37,2.11,2.72,1.12,1.39,0.87,0.52,0.15,2.15,1.97,1520,1261,1652,2928,CUF14C,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14D New Myeloid Panel 1 Blood_002.fcs,85.4,97.2,82.9,2.54,14.3,0.24,64.9,1.48,12,0.83,5.93,0.13,0.087,0.097,9.52,0.034,0.51,0.034,4.01,0.092,0.31,0.077,3618,4781,4168,4862,CUF14D,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14N New Myeloid Panel 1 Whole Blood_002.fcs,97.6,98.7,96.4,1.2,2.37,0.065,80.2,0.15,15.8,0.79,0.23,0.19,0.18,0.068,1.15,0,0.12,2.51E-03,0.76,0.038,0.33,0.025,12037,10041,12152,10087,CUF14N,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14P New Myeloid Panel 1 Whole Blood_002.fcs,96.9,97.9,95.5,1.44,2.46,0.64,85.7,0.94,9.51,0.25,0.17,0.06,0.06,0.19,1.49,0.072,0.47,0.048,0.16,0.23,0.34,0.29,4894,5862,5003,5938,CUF14P,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14Q New Myeloid Panel 1 Whole Blood_002.fcs,97.8,99.1,97.1,0.64,1.99,0.22,89.7,0.52,6.93,0.074,0.49,0.032,0.069,0.016,1,0.011,0.45,5.32E-03,0.24,0.11,0.3,0.09,2305,2810,2341,2821,CUF14Q,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14S New Myeloid Panel 1 Whole Blood_002.fcs,91.2,99.2,90.5,0.71,8.69,0.081,79.4,0.18,11,0.53,0.038,0,0.038,0,8.2,0.038,0.36,0.016,0.086,0.016,0.043,0.011,2152,2433,2312,2447,CUF14S,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF14T New Myeloid Panel 1 Whole Blood_002.fcs,99.8,98.5,98.3,1.47,0.16,0.026,92.7,1.16,1.44,0.052,4.13,0.17,0.052,0.078,0.06,0,0.026,0,0.035,0.026,0.043,0,1047,1521,1047,1529,CUF14T,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF138 New Myeloid Panel 1 Whole Blood_001.fcs,90.9,97.8,89.2,1.7,8.66,0.46,79.6,0.54,9.21,0.98,0.26,0.1,0.087,0.079,2.04,7.88E-03,3.5,0.032,0.63,0.16,2.5,0.26,5179,12669,5621,12786,CUF138,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF139 New Myeloid Panel 1 Whole Blood_001.fcs,15.1,36.4,6.3,8.82,30,54.8,2.53,4.3,3.74,4.22,0.016,0.23,0.021,0.075,10.1,33.6,17.4,20.4,0.8,0.11,1.74,0.71,137,5093,595,17572,CUF139,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF143 New Myeloid Panel 1 Blood_002.fcs,92.4,8.27,6.15,86.3,2.13,5.45,2.34,6.09,3.49,72.6,0.037,0.74,0.28,6.88,0.14,0.056,0.57,2.05,0.017,0.13,1.4,3.21,328,617,347,2214,CUF143,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF144 New Myeloid Panel 1 Blood_002.fcs,85.9,31.5,19.9,66,11.5,2.55,14.8,37.8,4.82,27.5,0.29,0.55,0.013,0.11,2.97,0.93,0.35,0.71,6.87,0.48,1.32,0.44,2695,1618,3045,3777,CUF144,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF145 New Myeloid Panel 1 Blood_002.fcs,87.7,98.6,86.7,1,12,0.37,55.1,0.53,1.59,0.058,29.7,0.32,0.23,0.092,3.51,0.046,0.19,0.023,7.63,0.21,0.65,0.094,949,6054,1066,6107,CUF145,Blood,Good,Not Stained,Stained,NewMF
Samples_CUF146 New Myeloid Panel 1 Blood_002.fcs,94.1,10.5,8.16,85.9,2.34,3.56,0.87,2.43,6.94,82.4,0.29,0.39,0.064,0.75,0.35,0.3,1.57,2.19,0.035,0.1,0.38,0.96,458,660,475,3170,CUF146,Blood,Good,Not Stained,Stained,NewMF
