Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUI124 New Myeloid Panel 1 Nasal_001.fcs,78,13.2,6.47,71.5,6.76,15.2,0.33,28.6,2.98,35,1.31,0.47,1.85,7.57,0.069,1.35,1.93,4.64,0.16,0.21,4.61,9.02,769,392,926,3079,CUI124,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI125 New Myeloid Panel 1 Nasal_001.fcs,83,18.3,9.55,73.5,8.78,8.22,0.48,15.9,7.01,54.2,0.97,0.17,1.09,3.2,0.048,0.65,1.48,2.21,1.12,0.27,6.13,5.09,1437,367,1642,3595,CUI125,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI126 New Myeloid Panel 1 Nasal_001.fcs,64.2,28.8,10.6,53.6,18.2,17.6,2.42,14,5.32,33.5,2.27,1.14,0.55,4.92,0.95,0.48,5.28,2.33,1.64,0.42,10.4,14.4,898,576,1394,4687,CUI126,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI127 New Myeloid Panel 1 Nasal_001.fcs,36.2,37.2,9.9,26.3,27.3,36.5,0.68,4.1,2.39,10.9,2.73,4.1,4.1,7.17,0.68,0.34,3.41,1.02,0,8.19,23.2,27,417,1106,1176,6493,CUI127,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI128 New Myeloid Panel 1 Nasal_001.fcs,62.7,37,16.5,46.2,20.5,16.8,0.92,3.06,11.6,40.1,3.06,0.61,0.92,2.45,0.31,0.31,6.42,3.67,1.83,0.31,11.9,12.5,845,680,1314,4703,CUI128,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11K New Myeloid Panel 1 Nasal_001.fcs,49.7,52.1,21.1,28.7,31,19.2,1.42,4.6,7.45,7.37,1.07,1.67,11.1,15,0.14,0.33,5.94,1.18,0.33,0.63,24.6,17.1,277,2176,547,7798,CUI11K,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11L New Myeloid Panel 1 Nasal_001.fcs,64.9,14,11,53.9,3.07,32,0,3.51,2.19,31.1,4.39,1.75,4.39,17.5,0.44,1.32,0,3.07,0,0.44,2.63,27.2,776,517,1209,3360,CUI11L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11M New Myeloid Panel 1 Nasal_001.fcs,92.1,21.9,19.1,73.1,2.77,5.08,0.024,1.3,18.3,69,0.094,0.055,0.65,2.74,0,0.031,1.58,2.66,0,0.047,1.19,2.34,1954,781,2080,3632,CUI11M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11P New Myeloid Panel 1 Nasal_001.fcs,69.2,21.4,16.1,53.1,5.22,25.6,0.89,21.5,9.3,26.3,1.21,1.63,4.76,3.69,0.32,12,1.99,4.01,0.28,2.45,2.63,7.1,343,1000,472,3607,CUI11P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11Q New Myeloid Panel 1 Nasal_001.fcs,37.3,22.9,4.96,32.3,17.9,44.8,0.25,6.11,3.05,19.6,0.38,0.89,1.27,5.73,0.25,6.74,1.27,4.58,0.51,4.2,15.9,29.3,424,803,1206,4275,CUI11Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11R New Myeloid Panel 1 Nasal_001.fcs,44.4,48.3,17.4,27,30.9,24.7,0.57,1.23,7.02,16,4.36,0.95,5.41,8.82,0.38,0,9.68,2.47,0.47,0.19,20.4,22,484,1735,1506,6020,CUI11R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11S New Myeloid Panel 1 Nasal_001.fcs,79.6,28.4,18.2,61.4,10.2,10.2,1.02,7.25,14.7,49.7,0.22,0.2,2.19,4.24,0.079,0.17,2.15,2.39,0.13,0.092,7.88,7.54,2080,858,2548,7030,CUI11S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12F New Myeloid Panel 1 Nasal_001.fcs,84,11.9,6.23,77.8,5.68,10.3,0.5,16.8,4.83,55.6,0.4,0.52,0.5,4.82,0.057,0.32,1.01,1.22,0.55,0.46,4.05,8.33,3485,328,4026,4468,CUI12F,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12G New Myeloid Panel 1 Nasal_001.fcs,90.8,16.1,13.7,77.1,2.43,6.8,0.86,10.2,10.8,62.5,1.01,0.56,1.07,3.83,0.025,0.076,0.61,1.8,0.18,0.15,1.62,4.77,1894,256,2048,1985,CUI12G,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12H New Myeloid Panel 1 Nasal_001.fcs,77.9,8.85,3.58,74.3,5.27,16.8,0.23,17.4,2.66,51.8,0.38,0.15,0.31,4.94,0.026,0.67,0.92,2.53,0.13,0.2,4.2,13.4,1343,228,1668,2280,CUI12H,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12I New Myeloid Panel 1 Nasal_001.fcs,77.2,24,15.7,61.4,8.25,14.6,1.87,14.8,7.45,43,4.29,0.28,2.13,3.28,0.32,1.07,4.27,4.19,0.2,0.18,3.46,9.14,755,324,943,2494,CUI12I,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12M New Myeloid Panel 1 Nasal_001.fcs,91.2,26.6,19.1,72.1,7.54,1.26,2.74,22.1,14.2,48.9,0.94,0.35,1.22,0.8,0.35,0.079,3.94,0.31,0.6,0.095,2.65,0.78,1948,309,2073,7429,CUI12M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12N New Myeloid Panel 1 Nasal_001.fcs,68,20.8,12,56,8.79,23.2,0.13,2.42,4.31,46.1,4.93,0.85,2.6,6.64,0,3.41,2.69,8.39,0.72,3.28,5.38,8.12,595,238,871,2477,CUI12N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12P New Myeloid Panel 1 Nasal_001.fcs,26.7,33.4,12.7,13.9,20.6,52.7,0,0.27,0.4,4.56,5.63,0.27,6.7,8.85,0.54,3.75,6.03,27.5,3.22,0.27,10.9,21.2,276,348,1040,1113,CUI12P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12Q New Myeloid Panel 1 Nasal_001.fcs,17,48.7,8.5,8.52,40.2,42.8,0.18,0.026,1.26,5.95,5.31,0.58,1.74,1.97,1.1,0.16,12,13.7,2.37,0.29,24.7,28.7,205,1145,833,3657,CUI12Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12R New Myeloid Panel 1 Nasal_001.fcs,72.6,70.2,52.6,20,17.6,9.84,11.1,0.67,30.5,16.5,2.89,0.21,8.04,2.6,0.88,0,4.82,1.68,0.84,0.084,11.1,8.08,1123,4260,1572,7177,CUI12P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12S New Myeloid Panel 1 Nasal_001.fcs,78.4,19.1,10.4,68.1,8.75,12.8,0.66,12.8,8.99,53.3,0.17,0.24,0.52,1.74,0.21,1.01,3.17,6.2,0.21,0.14,5.16,5.47,1083,354,1282,3523,CUI12S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12X New Myeloid Panel 1 Nasal_001.fcs,82.9,45.8,32,50.9,13.8,3.29,6.2,2.67,21.7,47.3,3.39,0.14,0.66,0.83,0.64,0.08,3.77,1.04,2.18,0.073,7.24,2.1,1678,902,1936,6166,CUI12X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12Y New Myeloid Panel 1 Nasal_001.fcs,40.2,63.5,23.6,16.6,40,19.9,5.62,0.96,3.91,9.23,8.49,1.33,5.54,5.08,3.01,0.088,7.07,0.9,3.33,0.41,26.6,18.5,441,3418,1040,6885,CUI12Y,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI13I New Myeloid Panel 1 Nasal_001.fcs,66.3,57.6,42.6,23.7,15,18.7,9.89,0.38,29.5,16.2,1.82,0.85,1.37,6.32,0.38,0.071,3.86,1.04,1.4,0.28,9.39,17.3,1021,4468,1617,13046,CUI131,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI120 New Myeloid Panel 1 Nasal_001.fcs,65,29.9,16.5,48.5,13.4,21.6,0.3,2.71,13.2,41,2.66,0.49,0.34,4.28,0.049,0.25,5.21,7.67,1.77,0.44,6.35,13.3,877,463,1314,1669,CUI120,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI121 New Myeloid Panel 1 Nasal_001.fcs,90.1,11.2,7.82,82.3,3.36,6.52,0,5.28,5.58,76.1,1.83,0.029,0.41,0.88,0,0.32,0.71,4.81,0.47,0.088,2.18,1.3,1451,228,1558,2134,CUI121,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI122 New Myeloid Panel 1 Nasal_001.fcs,61.5,26.4,20.7,40.9,5.77,32.7,0,4.57,2.4,21.9,14.2,1.68,4.09,12.7,0,0,0.24,3.37,1.2,1.2,4.33,28.1,800,537,1134,2357,CUI122,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI123 New Myeloid Panel 1 Nasal_001.fcs,83.6,24.2,20.8,62.8,3.4,13,0.27,14.3,15.6,47.5,3.5,0.17,1.4,0.83,0.033,3.53,2.23,7.96,0.033,0.1,1.1,1.43,863,426,1006,1883,CUI123,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI130 New Myeloid Panel 1 Nasal_001.fcs,75.3,24.8,12.8,62.5,12.1,12.6,2.06,3.84,10.3,57.8,0.24,0.16,0.13,0.7,1.34,0.55,6.48,9.44,0.13,0.13,4.12,2.51,929,473,1120,8415,CUI130,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI134 New Myeloid Panel 1 Nasal_001.fcs,75.7,56.5,43.5,32.2,13,11.3,2.4,6.77,15.5,21.6,12.7,0.25,12.9,3.61,0.19,3.64,5.76,4.02,0.13,0.28,6.93,3.38,381,1348,489,3523,CUI134,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12V New Myeloid Panel 1 Nasal_001.fcs,85.1,30.5,24.5,60.6,6.07,8.86,7.8,14.1,15.5,41.9,1.06,1.35,0.096,3.28,0.67,0.58,2.99,4.24,0.48,0.39,1.93,3.66,1115,1427,1220,3196,CUI12V,Nasal,Good,Not Stained,Stained,NewMF
Specimen_001_CUI15T Nasal.fcs,67.5,19.3,10.3,57.1,8.93,23.6,0.49,2.38,8.85,45.5,0,0.33,0.98,8.93,0.41,0,1.56,1.31,0.25,0.33,6.72,22,4545,468,8417,3494,CUI15T,Nasal,Good,Not Stained,Stained,NewMF
Specimen_001_CUI15U Nasal.fcs,34.3,31.5,10.2,24,21.3,44.4,1.57,3.14,8.16,19.1,0,0.03,0.48,1.78,0.24,0.091,1.78,2.18,0.45,0.12,18.8,42,2832,378,10550,2530,CUI15U,Nasal,Good,Not Stained,Stained,NewMF
Specimen_001_CUI15V Nasal.fcs,34.2,24.1,8.86,25.3,15.2,50.6,5.06,3.8,2.53,13.9,1.27,0,0,7.59,0,0,0,1.27,6.33,17.7,8.86,31.6,842,308,4375,2014,CUI15V,Nasal,Good,Not Stained,Stained,NewMF
