Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUH11X New Myeloid Panel 1 Nasal_001.fcs,38.5,34.1,9.89,28.6,24.2,37.3,0.67,5.48,6.42,20.7,2.01,0.27,0.8,2.14,0.27,0.67,3.88,5.21,5.48,1.2,14.6,30.2,1123,1204,3242,4363,CUH11X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11Y New Myeloid Panel 1 Nasal_001.fcs,87.8,19.8,14.2,73.6,5.64,6.61,0.99,12.2,12.7,60,0.049,0.049,0.41,1.33,0.086,0.45,2.07,2.87,0.071,0.035,3.41,3.25,2556,718,2798,4348,CUH11Y,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11Z New Myeloid Panel 1 Nasal_001.fcs,74.5,40.1,22.5,52,17.6,7.92,3.66,4.14,11,41.9,3.65,0.97,4.17,5,0.46,0.011,1.92,0.75,2.72,0.36,12.5,6.8,1446,1671,2099,14414,CUH11L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12A New Myeloid Panel 1 Nasal_001.fcs,41.2,63.4,18.7,22.5,44.7,14.1,1.73,2.93,4.78,13.3,9.71,1.33,2.53,4.9,0.51,0.17,3.61,0.75,7.8,0.91,32.8,12.3,461,2700,1106,5114,CUH12A,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12B New Myeloid Panel 1 Nasal_001.fcs,37.6,52.1,15,22.6,37.1,25.3,1.7,2.22,1.57,13.6,8.62,0.65,3.13,6.14,4.05,0,3.79,1.7,6.92,0,22.3,23.6,403,2362,997,12959,CUH12B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12C New Myeloid Panel 1 Nasal_001.fcs,37.9,50.8,12.6,25.3,38.2,23.9,1.43,4.15,1.86,13,6.72,1.57,2.58,6.58,2.15,0.43,2.86,0.86,5.01,1.29,28.2,21.3,400,1855,1076,7635,CUH12C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12D New Myeloid Panel 1 Nasal_001.fcs,42,25,9.25,32.7,15.8,42.2,1.02,5.27,4.4,26.1,2.61,0.26,1.21,1.1,1.13,6.34,5.14,20.3,1.27,1.04,8.26,14.6,450,776,1155,6299,CUH12D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12E New Myeloid Panel 1 Nasal_001.fcs,96.6,21.3,19.3,77.3,2.04,1.36,0.34,3.47,18.6,72.5,0.035,0.059,0.35,1.26,0.016,0.03,1.22,0.51,0.035,0.016,0.78,0.81,2469,442,2516,2517,CUH12E,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12F New Myeloid Panel 1 Nasal_001.fcs,91.2,32.4,27.3,63.9,5.11,3.71,0.94,7,24.7,56,0.73,0.079,0.92,0.81,0.052,0.15,3.05,1.57,0.3,0.15,1.71,1.83,1673,334,1786,1867,CUH12F,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12G New Myeloid Panel 1 Nasal_001_001.fcs,35.4,20.3,9.19,26.2,11.1,53.5,1.14,3.09,4.23,18.6,1.14,0,2.69,4.56,0.57,10.2,4.72,20.8,0.41,3.01,5.45,19.4,387,277,955,3410,CUH12G,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12H New Myeloid Panel 1 Nasal_001.fcs,70.8,47.9,30.1,40.7,17.9,11.3,11.2,1.99,16.5,36.4,1.4,0.69,0.99,1.63,4.35,0.35,8.67,2.37,0.8,1.56,4.06,7.03,949,1710,1251,11694,CUH12H,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12I New Myeloid Panel 1 Nasal_001.fcs,78,27.4,16.5,61.5,10.9,11.1,1.39,2.84,6.66,53.3,5.55,0.62,2.91,4.72,0.35,0.62,3.12,2.77,0.97,0,6.45,7.7,602,252,733,3528,CUH12I,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12K New Myeloid Panel 1 Nasal_001.fcs,9.5,25.3,2.4,7.09,22.8,67.7,0.17,0,0,0.056,2.18,2.18,0.056,4.86,2.18,2.63,6.7,50.6,4.75,1.34,9.22,13.1,346,376,3518,3869,CUH12K,Nasal,Good,Stained,Stained,NewMF
Samples_CUH12L New Myeloid Panel 1 Nasal_001.fcs,88.8,13.1,8.79,80,4.31,6.9,0.34,7.41,6.03,69.7,1.21,0.17,1.21,2.76,0,0.52,2.41,2.93,0.34,0,1.55,3.45,1483,205,1622,2410,CUH12L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12M New Myeloid Panel 1 Nasal_001.fcs,88,24.6,18.4,69.7,6.23,5.72,2.99,3.5,14.3,62.2,0.68,0.43,0.43,3.59,0.77,0.085,3.76,3.33,0.17,0.17,1.54,2.13,1704,337,1906,5114,CUH12M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12N New Myeloid Panel 1 Nasal_001.fcs,66.2,34.5,14.5,51.7,20.1,13.8,1.96,15.4,8.5,32.8,2.89,1.02,1.11,2.47,0.26,1.45,1.96,1.79,3.4,1.28,14.5,9.27,1217,589,1912,2718,CUH12N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12P New Myeloid Panel 1 Nasal_001.fcs,40.1,24.7,5.17,34.9,19.5,40.4,0.19,8.8,1.82,14.4,2.39,0.29,0.77,11.4,0.096,0.77,1.63,2.01,1.72,0.77,16.1,36.8,482,256,1151,2559,CUH12P,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12Q New Myeloid Panel 1 Nasal_001.fcs,82.4,19.9,13,69.4,6.85,10.7,1,10.5,10.9,57.2,0.61,0,0.52,1.7,0,0.24,1.19,1.37,1.64,0.12,4.02,9.01,3377,345,3914,2918,CUH12Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12R New Myeloid Panel 1 Nasal_001.fcs,89.7,22.7,15.2,74.5,7.48,2.82,1.2,9.66,12.9,63.2,0.1,0.056,1.01,1.61,0.28,0.078,2.21,0.56,0.15,0.037,4.83,2.14,2262,374,2439,3963,CUH12R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12S New Myeloid Panel 1 Nasal_001.fcs,79,27.6,15.5,63.5,12.1,8.94,0.77,5.64,12,55.3,1.99,0.15,0.72,2.36,0.074,0.4,5.19,1.79,1.69,0.27,5.14,6.48,2054,409,2524,3896,CUH12S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12V New Myeloid Panel 1 Nasal_001.fcs,85.7,56.3,45.4,40.3,11,3.35,17.4,0.33,26.2,36.1,0.77,0.13,1.04,3.72,1.43,0.02,3.44,0.63,0.78,0.13,5.31,2.58,1529,1911,1694,9361,CUH12V,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12W New Myeloid Panel 1 Nasal_001.fcs,90.6,6.77,4.67,85.9,2.1,7.31,0.41,19.3,3.36,65.4,0.67,0.27,0.22,0.94,0.15,3.43,0.5,1.73,0.25,0.57,1.21,1.58,901,230,964,1649,CUH12W,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH12X New Myeloid Panel 1 Nasal_001.fcs,59.2,54.5,32.6,26.6,21.9,18.9,0.9,0.81,5.46,17.1,23.2,1.22,3.01,7.49,0.49,0.081,1.79,1.22,3.01,0.49,16.6,17.1,459,1749,822,6850,CUH12X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH13K New Myeloid Panel 1 Nasal_001.fcs,69.8,37.1,26.8,43,10.3,19.9,0,0,0,0.022,4.82,7.74,21.9,35.3,0,0.022,0,0.043,0.58,1.2,9.74,18.6,1364,981,2207,5655,CUH13K,Nasal,Good,Not Stained,Not Stained,NewMF
Samples_CUH13M New Myeloid Panel 1 Nasal_001.fcs,81.7,32.3,17.5,64.2,14.7,3.53,0.75,18.4,9.39,43.4,6.65,0.1,0.76,2.28,0.32,0.089,1.97,1.3,3.33,0.062,9.1,2.08,2604,281,3192,3638,CUH13M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH14I New Myeloid Panel 1 Nasal_001.fcs,28.9,64,13.7,15.2,50.3,20.8,3.35,4.09,7.49,9.93,1.53,0.11,1.36,1.08,3.69,1.42,8.34,2.84,6.36,0.68,31.9,15.8,273,2210,994,4789,CUH14I,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH14J New Myeloid Panel 1 Nasal_001.fcs,76.2,50.5,34.7,41.5,15.7,8.01,10.3,3.29,22,35.9,1.51,0.31,0.85,2.06,1.46,0.19,8.57,2.36,0.83,0.3,4.89,5.16,869,2028,1123,9800,CUH14J,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH14K New Myeloid Panel 1 Nasal_001.fcs,13.4,69.6,5.67,7.72,63.9,22.7,0.72,2.59,0.24,4.82,3.98,0.12,0.72,0.18,1.87,1.75,29.3,9.52,3.44,0.3,29.3,11.2,242,695,952,861,CUH14K,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH14L New Myeloid Panel 1 Nasal_001.fcs,52.8,25.8,8.86,43.9,16.9,30.3,2.38,5.21,3.54,36.2,2.38,0.56,0.56,2,1.17,0.94,6.99,12.8,1.25,0.15,7.51,16.4,640,1127,1364,7346,CUH14L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH120 New Myeloid Panel 1 Nasal_001.fcs,89.8,20.8,18,71.8,2.85,7.34,4.85,15.1,11.5,47.1,0.53,3.64,1.11,5.91,0.053,0.053,0.84,1.58,0.16,0.58,1.79,5.12,3132,1435,3507,10333,CUH120,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH121 New Myeloid Panel 1 Nasal_001.fcs,54.8,51.1,27.1,27.7,23.9,21.3,1.28,1.28,2.18,9.09,16.1,2.3,7.55,15,0.38,0,2.05,1.28,2.3,0.38,19.2,19.6,640,2737,1050,9165,CUH121,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH123 New Myeloid Panel 1 Nasal_001.fcs,44.1,48.2,13.9,30.2,34.2,21.6,0.47,2.75,11.5,23.7,1.07,0.61,0.86,3.09,0.2,0.041,3.75,2.01,4.28,0.57,26,19,744,1831,2408,5043,CUH123,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH125 New Myeloid Panel 1 Nasal_001.fcs,88.3,18.3,13.4,74.9,4.86,6.82,0.53,1.14,11.6,69.3,0.61,1.1,0.61,3.39,0.041,0,3.43,1.76,0,0.57,1.39,4.49,1769,448,1948,5026,CUH125,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH126 New Myeloid Panel 1 Nasal_001.fcs,73.3,9.83,5.83,67.5,4,22.7,0.038,5.14,3.62,58.2,0.72,0.27,1.45,3.81,0,1.71,1.56,12.8,0.038,0.3,2.4,7.89,465,290,604,2300,CUH126,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH127 New Myeloid Panel 1 Nasal_001.fcs,50.6,50.1,17.5,33.1,32.5,16.8,0.7,4.31,5.98,19.1,7.93,1.25,2.92,8.48,0.7,0.14,2.5,0.14,8.07,0,21.3,16.6,378,1497,901,5149,CUH127,Nasal,Good,Stained,Stained,NewMF
Samples_CUH128 New Myeloid Panel 1 Nasal_001.fcs,70.1,40.7,22,48.1,18.7,11.2,1.7,0.95,17.5,43.9,1.63,0.44,1.22,2.75,0.51,0.1,10.9,3.22,0.34,0.27,6.99,7.63,943,1155,1236,7019,CUH128,Nasal,Good,Stained,Stained,NewMF
Samples_CUH129 New Myeloid Panel 1 Nasal_001.fcs,78.6,19.6,12.3,66.3,7.35,14.1,0.39,3.19,11.1,62.6,0.58,0.01,0.21,0.53,0.14,0.74,4.91,11.2,0.27,0.063,2.03,2,1003,238,1187,2888,CUH129,Nasal,Good,Not Stained,Stained,NewMF
